col,fv,colps,fvps,wcol,wfc
1,0,2,0.5,3,1.3
2,0.1,3,0.6,4,1.4
3,0.2,4,0.7,5,1.5
4,0.3,5,0.8,6,1.6
5,0.4,6,0.9,7,1.7
6,0.5,7,1,0,0
7,0.6,8,1.1,0,0
8,0.7,9,1.2,0,0
9,0.8,10,1.3,0,0
10,0.9,11,1.4,0,0
11,1,12,1.5,0,0
12,1.1,13,1.6,0,0
13,1.2,14,1.7,0,0
14,1.3,15,1.8,0,0
15,1.4,16,1.9,0,0
16,1.5,17,2,0,0
17,1.6,18,2.1,0,0
18,1.7,19,2.2,0,0
19,1.8,20,2.3,0,0
20,1.9,21,2.4,0,0
21,2,0,0,0,0
22,2.1,0,0,0,0
23,2.2,0,0,0,0
24,2.3,0,0,0,0
25,2.4,0,0,0,0
26,2.5,0,0,0,0
27,2.6,0,0,0,0
28,2.7,0,0,0,0
29,2.8,0,0,0,0
30,2.9,0,0,0,0
31,3,0,0,0,0
32,3.1,0,0,0,0
33,3.2,0,0,0,0
34,3.3,0,0,0,0
