ForecastVol,doy,wy
1230000,1,1998
1583000,32,1998
1460000,60,1998
1155000,91,1998
880000,121,1998
538000,152,1998
1840000,1,1999
1820000,32,1999
2140000,60,1999
1800000,91,1999
1250000,121,1999
739000,152,1999
1390000,1,2000
1450000,32,2000
1525000,60,2000
1275000,91,2000
700000,121,2000
1465000,1,2001
1030000,32,2001
760000,60,2001
450000,91,2001
350000,121,2001
1800000,1,2002
1663500,32,2002
1370000,60,2002
1211000,91,2002
870000,121,2002
1542200,1,2003
1372000,32,2003
1126000,60,2003
1118400,91,2003
980000,121,2003
1715000,1,2004
1600000,32,2004
1460000,60,2004
1000000,91,2004
540000,121,2004
1500000,1,2005
1075000,32,2005
650000,60,2005
650000,91,2005
476800,121,2005
2140000,1,2006
2300000,32,2006
2080000,60,2006
1900000,91,2006
1500000,121,2006
550000,152,2006
1700000,1,2007
1360000,32,2007
1150000,60,2007
775000,91,2007
550000,121,2007
1650000,1,2008
1787000,32,2008
1600000,60,2008
1437000,91,2008
1050000,121,2008
470000,152,2008
1685000,1,2009
1350000,32,2009
1100000,60,2009
1125000,91,2009
843000,121,2009
1475000,1,2010
1193000,32,2010
937000,60,2010
880000,91,2010
645000,121,2010
2000000,1,2011
1700000,32,2011
1430000,60,2011
1500000,91,2011
1330000,121,2011
787000,152,2011
1390000,1,2012
1560000,32,2012
1519000,60,2012
1490000,91,2012
975000,121,2012
1730000,1,2013
1290000,32,2013
1075000,60,2013
800000,91,2013
630000,121,2013
1100000,1,2014
890000,32,2014
1130000,60,2014
1225000,91,2014
930000,121,2014
1800000,1,2015
1483000,32,2015
1227000,60,2015
809000,91,2015
521000,121,2015
1900000,1,2016
1800000,32,2016
1486000,60,2016
1380000,91,2016
800000,121,2016
320000,152,2016
1560000,1,2017
1800000,32,2017
2200000,60,2017
2000000,91,2017
1650000,121,2017
820000,152,2017
1430000,1,2018
1210000,32,2018
1075000,60,2018
1100000,91,2018
720000,121,2018
275000,152,2018
